장미여관,퇴근하겠습니다,https://music.youtube.com/watch?v=ebueotpvQfQ&list=RDAMVMebueotpvQfQ,https://open.spotify.com/track/5zqTnsftwkmRmwRtaJ7Tih?si=e74c3cf0f8d84f3d,https://music.apple.com/kr/album/%ED%87%B4%EA%B7%BC%ED%95%98%EA%B2%A0%EC%8A%B5%EB%8B%88%EB%8B%A4/1094568596?i=1094568605
YB ,잊을께,https://music.youtube.com/watch?v=0MA0t4o9i7I&list=RDAMVMebueotpvQfQ,https://open.spotify.com/track/5Ermk04tSk2Z7mfVDcP6EG?si=121d295d006b4dbb,https://music.apple.com/kr/album/%EC%9E%8A%EC%9D%84%EA%BB%98/1443718670?i=1443718934
김윤아,봄날은 간다,https://music.youtube.com/watch?v=LI0NZmRPIG0&list=RDAMVMebueotpvQfQ,https://open.spotify.com/track/4qg4R296ne1vu0Mlsdtg99?si=de6c5a47993c4468,https://music.apple.com/kr/album/%EB%B4%84%EB%82%A0%EC%9D%80-%EA%B0%84%EB%8B%A4/1424027573?i=1424027585
김태우,나는 바보다,https://music.youtube.com/watch?v=mHtej9odTLM&list=RDAMVMmHtej9odTLM,https://open.spotify.com/track/76BoqOo1B9LozTyLfThtAI?si=10f027824058422b,https://music.apple.com/kr/album/%EB%82%98%EB%8A%94-%EB%B0%94%EB%B3%B4%EB%8B%A4/1541594207?i=1541594208
다비치 ,8282,https://music.youtube.com/watch?v=c54FzJcol3I&list=RDAMVMc54FzJcol3I,https://open.spotify.com/track/0a0M1XuLAN2CSlUWryj903?si=077e47a5f03e45aa,https://music.apple.com/kr/album/8282/1264941834?i=1264941837
sting ,Englishman in newyork,https://music.youtube.com/watch?v=hgGlDovNMog&list=RDAMVMhgGlDovNMog,https://open.spotify.com/track/4KFM3A5QF2IMcc6nHsu3Wp?si=a4b1fe8489484023,https://music.apple.com/kr/album/englishman-in-new-york/1440882817?i=1440882895
위대한 쇼맨,this is me,https://music.youtube.com/watch?v=fIkJFUNygsY&list=RDAMVMfIkJFUNygsY,https://open.spotify.com/track/45aBsnKRWUzhwbcqOJLwfe?si=5048dc1657f54cae,https://music.apple.com/kr/album/this-is-me/1299856714?i=1299856916
브레이브걸스,롤린,https://music.youtube.com/search?q=롤린,https://open.spotify.com/track/2VJOpzv5sBpstCX9venJr5?si=d205de80c02240f5,https://music.apple.com/kr/album/%EB%A1%A4%EB%A6%B0/1546386685?i=1546386686
거북이 ,비행기,https://music.youtube.com/search?q=거북이+비행기,https://open.spotify.com/track/3GcTcXCJLVdy7iYhSKPGUp?si=7cb303a3e05b4237,https://music.apple.com/kr/album/%EB%B9%84%ED%96%89%EA%B8%B0/1547819479?i=1547819491
마마무 ,HIP,https://music.youtube.com/watch?v=wp_lKkWoyfI&list=RDAMVMwp_lKkWoyfI,https://open.spotify.com/track/24nK8tW7Pt3Inh2utttuoG?si=7046b412f1cb47da,https://music.apple.com/kr/album/hip-japanese-version/1495613192?i=1495613193
블락비,Her,https://music.youtube.com/watch?v=g4pDuadNyzo&list=RDAMVMg4pDuadNyzo,https://open.spotify.com/track/4jQDaI7FRGaDB0llURpnNf?si=38128babdca1421a,https://music.apple.com/kr/album/her/1570372340?i=1570372344
